2026-02-04 12:29:11.418523 | subesh | GET | /cart/
2026-02-04 12:34:19.162854 | subesh | GET | /cart/
2026-02-04 12:34:19.451323 | subesh | GET | /cart/
2026-02-04 12:34:19.615866 | subesh | GET | /cart/
2026-02-04 12:40:13.453185 | subesh | GET | /cart/
2026-02-04 12:40:16.321476 | subesh | GET | /login/
2026-02-04 12:42:54.235227 | subesh | GET | /login/
2026-02-04 12:55:29.506730 | subesh | GET | /products/
2026-02-04 12:55:30.117819 | subesh | GET | /products/
2026-02-04 12:55:30.323677 | subesh | GET | /products/
2026-02-04 12:55:30.453200 | subesh | GET | /products/
2026-02-04 12:55:34.930978 | subesh | GET | /cart/
2026-02-04 12:55:36.742794 | subesh | GET | /products/
2026-02-04 12:55:38.225536 | subesh | GET | /cart/add/2/
2026-02-04 12:55:38.400388 | subesh | GET | /products/
2026-02-04 12:55:39.583482 | subesh | GET | /cart/
2026-02-04 12:55:40.438990 | subesh | GET | /cart/
2026-02-04 12:58:50.468883 | subesh | GET | /products/
